Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
PT Indofood Sukses Makmur Tbk,IDX:INDF,"1,380,020","4,382,943,030","1,087,500",NA,NA,NA,NA,"9,491,323",NA,"946,095,732",NA,NA,NA,"2,095,771",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,396,103,450"
Hang Lung Group Limited,SEHK:10,"12,750,000","826,445,162","25,999,935",NA,NA,NA,NA,"130,000",NA,"374,242,448",NA,NA,NA,"17,000",NA,"31,000",NA,NA,NA,NA,NA,NA,"522,423,080",NA
PT AKR Corporindo Tbk,IDX:AKRA,"350,219,900","6,785,340,300","643,821,043",NA,"263,860,210",NA,NA,"288,682,756",NA,"2,331,450,345",NA,NA,NA,"139,376,100",NA,NA,NA,NA,NA,NA,NA,"472,661,500","12,128,947,900",NA
"Nan Liu Enterprise Co., Ltd.",TWSE:6504,NA,NA,"785,548",NA,NA,NA,NA,NA,NA,"2,140,080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tongda Group Holdings Limited,SEHK:698,"1,283,435,000","6,076,922,645",NA,NA,NA,NA,NA,NA,NA,"107,109,658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,375,250,000",NA
MEB Corporation Public Company Limited,SET:MEB,"56,544,000","75,206,000",NA,NA,"1,425,800",NA,NA,NA,NA,"7,076,300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14,470,000","153,780,000"
Rupa & Company Limited,BSE:533552,"34,992,788","22,039,918","1,692,020",NA,NA,NA,NA,NA,NA,"412,213",NA,NA,NA,"3,335,000",NA,NA,NA,NA,NA,NA,NA,"43,694","22,448,160",NA
CP Axtra Public Company Limited,SET:CPAXT,"886,755","1,615,207,628","43,934,411",NA,NA,NA,NA,NA,NA,"238,129,557",NA,NA,NA,"128,026",NA,NA,NA,NA,NA,NA,NA,NA,"4,334,434,945","4,629,794,172"
361 Degrees International Limited,SEHK:1361,"1,350,477,462","717,204,538",NA,NA,NA,NA,NA,NA,NA,"70,076,584",NA,NA,NA,"2,663,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saigon Ground Services Joint Stock Company,HOSE:SGN,NA,"27,181,032",NA,NA,NA,NA,NA,NA,NA,"142,120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,352,559",NA
