ciqticker,SP_COMPANY_NAME,ownership_score,insider_activity_score,final_score
KOSE:A192820,"Cosmax, Inc.",1.0353141104987211,7.648766126069034,4.413695893867571
SEHK:743,Asia Cement (China) Holdings Corporation,1.0342987471622356,7.648977754137145,4.413257038744771
NSEI:ABCAPITAL,Aditya Birla Capital Limited,1.0271507304367853,7.654572978912573,4.4124091840733115
IDX:ASII,PT Astra International Tbk,1.0038705985375662,7.674931475902991,4.410813914465113
KOSE:A241590,"Hwaseung Enterprise Co., Ltd.",1.0291850922935737,7.64877008052081,4.410351489669564
SEHK:17,New World Development Company Limited,1.0353833071480627,7.640655203676798,4.409304954864046
IDX:CASS,PT Cardig Aero Services Tbk,1.0302985466024048,7.645308853581899,4.40906956005117
NSEI:LEMONTREE,Lemon Tree Hotels Limited,1.0289880077266151,7.645001966779717,4.408186414104421
IDX:KLBF,PT Kalbe Farma Tbk.,1.0243167963377107,7.64877008052081,4.407693305185695
IDX:BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,1.0019211724302726,7.671141288187094,4.407679973442107
SET:TIDLOR,Ngern Tid Lor Public Company Limited,1.0224338440361374,7.64877008052081,4.406665176526861
KLSE:DPHARMA,Duopharma Biotech Berhad,1.0269846484590732,7.644067490308971,4.406582298527537
HOSE:MBB,Military Commercial Joint Stock Bank,1.0103891611349791,7.659616683134488,4.406011001337126
NSEI:CESC,CESC Limited,1.0190960842270034,7.650536719593989,4.40580731398102
NSEI:INDUSINDBK,IndusInd Bank Limited,1.0217967644280537,7.645866086602041,4.404731681359216
SET:KBANK,Kasikornbank Public Company Limited,1.017653575638841,7.64877008052081,4.404055056805786
KOSE:A030200,KT Corporation,1.0167989291244648,7.64867894641551,4.403538642152453
SET:CPALL,CP ALL Public Company Limited,1.0155511024815809,7.64877008052081,4.4029070654808855
HOSE:FRT,FPT Digital Retail Joint Stock Company,1.017476774807366,7.646779875030937,4.4028718291154245
SEHK:522,ASMPT Limited,1.013522312318276,7.64920186858144,4.40203507120434
SEHK:3311,China State Construction International Holdings Limited,1.0133547646737053,7.64877008052081,4.401707822227155
IDX:BBNI,PT Bank Negara Indonesia (Persero) Tbk,1.0046384915818363,7.656373351968805,4.401100101635167
HOSE:HCM,Ho Chi Minh City Securities Corporation,1.0114547812029384,7.648799847072485,4.400686647335392
SEHK:551,Yue Yuen Industrial (Holdings) Limited,1.008806743757876,7.650807877881094,4.400337191236991
IDX:DMAS,PT Puradelta Lestari Tbk,1.0102519123664206,7.64877008052081,4.4000136043871265
KOSE:A009240,"Hanssem Co., Ltd.",1.0095887906639585,7.648748964152128,4.3996399970632325
IDX:CTRA,PT Ciputra Development Tbk,1.0085415097418486,7.64877008052081,4.399079691215242
PSE:CNPF,"Century Pacific Food, Inc.",1.00755939725316,7.649619523298735,4.399007250967191
IDX:JSMR,PT Jasa Marga (Persero) Tbk,1.002906204233202,7.65385635350754,4.39877990875663
HOSE:DGW,Digiworld Corporation,1.0056015006184027,7.648789549922342,4.397485019600431
SET:SGC,SG Capital Public Company Limited,1.0046476649617373,7.64877008052081,4.396953576067164
SGX:C09,City Developments Limited,1.0043699943665025,7.64877008052081,4.39680196250986
SET:SPRC,Star Petroleum Refining Public Company Limited,1.0033081130404307,7.64877008052081,4.396222154607821
NSEI:TECHM,Tech Mahindra Limited,1.0029080394684622,7.648819114569112,4.396030480185498
